,Lat,Long,City,Country,Date,Max Temperature,Humidity,Cloudiness,Wind Speed
135,39.79551612353569,139.32640540979463,oga,jp,1601703873.0,17.78,87.0,75.0,2.6
136,32.162255526772796,-70.74646022349488,hamilton,bm,1601703752.0,11.11,87.0,90.0,0.92
137,-62.448421846327086,-4.903410077243194,cape town,za,1601703699.0,16.11,82.0,20.0,2.6
138,-36.00526533154426,-56.86154995612756,dolores,ar,1601703875.0,1.27,90.0,0.0,2.75
139,41.002368844958966,-23.93955976056057,rabo de peixe,pt,1601703875.0,20.0,88.0,75.0,6.7
140,45.16831461020348,179.59022251640528,nikolskoye,ru,1601703876.0,9.44,93.0,85.0,3.0
142,16.853950091402083,-76.45341801609968,morant bay,jm,1601703876.0,28.0,78.0,40.0,7.2
144,-26.715299701107085,137.757636341335,alice springs,au,1601703712.0,36.0,11.0,10.0,8.2
146,69.28313004591459,110.5898923291548,udachnyy,ru,1601703877.0,0.0,90.0,90.0,4.0
147,49.30193362808993,7.755291194782302,kaiserslautern,de,1601703878.0,12.78,100.0,90.0,3.6
151,-30.738616743561373,91.57830264819586,carnarvon,au,1601703878.0,21.0,37.0,0.0,13.4
157,56.483395767916534,49.84582396836629,mari-turek,ru,1601703879.0,12.58,75.0,49.0,3.27
158,-48.60907261446602,-36.0242548717128,chuy,uy,1601703879.0,10.06,73.0,38.0,5.36
159,24.950359515021802,102.25147308659268,lianran,cn,1601703850.0,24.44,69.0,40.0,7.0
160,45.75552656134687,-103.21108530973953,dickinson,us,1601703781.0,20.56,67.0,1.0,3.21
161,14.436885000331102,84.10052019029689,yanam,in,1601703880.0,31.0,70.0,75.0,5.1
163,65.14741117447417,132.89605226151474,verkhoyansk,ru,1601703881.0,2.62,67.0,99.0,10.48
164,22.183719444873475,-22.45837379244861,nouadhibou,mr,1601703881.0,20.0,82.0,0.0,9.8
165,-50.63824064364402,124.93933801630044,esperance,au,1601703882.0,12.0,93.0,40.0,4.6
166,25.944154631585462,107.1349905895712,xiaoweizhai,cn,1601703883.0,27.58,67.0,78.0,3.25
170,-40.106827726500754,-48.765804386270446,rocha,uy,1601703883.0,6.22,74.0,80.0,3.92
171,-48.569695556927776,21.762248232136727,bredasdorp,za,1601703704.0,14.0,93.0,100.0,5.1
173,57.4594900659784,-42.516511178950964,nanortalik,gl,1601703884.0,3.18,92.0,100.0,5.36
176,43.184436182858576,-66.38339193052823,yarmouth,ca,1601703820.0,12.22,100.0,1.0,3.15
179,48.95986864890324,-126.74601222431352,ucluelet,ca,1601703716.0,13.89,91.0,7.0,0.43
182,83.15254675775316,19.170854042480556,longyearbyen,sj,1601703885.0,0.0,92.0,75.0,1.0
183,-9.727599275893638,139.37894488085539,merauke,id,1601703886.0,28.11,73.0,78.0,9.33
184,42.75324927188487,133.13759374066768,vrangel,ru,1601703886.0,16.16,57.0,0.0,6.64
185,5.23543744257762,45.4491015368537,xuddur,so,1601703887.0,27.47,48.0,42.0,6.33
188,-5.790201086741334,-156.60719907955595,faanui,pf,1601703887.0,25.96,78.0,7.0,8.81
189,71.06212100612353,172.95937454322103,komsomolskiy,ru,1601703888.0,19.0,32.0,45.0,1.0
191,-16.29194714572806,87.2374975434521,bengkulu,id,1601703889.0,28.53,68.0,100.0,2.9
193,-24.349592580216623,-68.25202286889802,calama,cl,1601703597.0,13.4,35.0,27.0,1.95
198,-35.062913481577304,-159.77198965706404,avarua,ck,1601703890.0,24.0,78.0,98.0,1.0
201,-49.41980757200592,-68.1321740474444,rio gallegos,ar,1601703891.0,1.0,64.0,37.0,3.6
202,-18.931489736370693,20.36581703097761,rundu,na,1601703891.0,24.72,17.0,33.0,3.31
204,-70.25975933085581,51.478899164546306,east london,za,1601703669.0,14.0,100.0,90.0,6.7
205,-63.53249712666876,129.2190105705523,new norfolk,au,1601703870.0,16.11,78.0,97.0,0.45
206,-15.478913934665812,38.34505317678051,nampula,mz,1601703893.0,23.0,83.0,20.0,2.1
207,35.637975905277955,-37.040834400495015,ribeira grande,pt,1601703894.0,20.34,80.0,96.0,8.3
211,74.50286575261953,176.31566428095846,leningradskiy,ru,1601703894.0,0.18,95.0,100.0,4.84
212,14.598166789137352,-117.95970421458463,cabo san lucas,mx,1601703895.0,28.33,65.0,0.0,0.45
213,11.255551659042197,104.31139997517244,kampot,kh,1601703895.0,29.0,83.0,40.0,4.1
216,32.445740485515415,-122.78279756851597,lompoc,us,1601703895.0,20.0,67.0,1.0,3.5
218,49.30574972398662,-72.41309050501972,albanel,ca,1601703896.0,4.0,86.0,75.0,4.1
221,5.2711797236305955,-38.00922422776196,itarema,br,1601703896.0,25.69,78.0,17.0,8.03
222,33.727729107697485,-98.34495593029267,wichita falls,us,1601703897.0,17.22,48.0,1.0,6.2
223,71.79694045148707,-121.25354125664029,norman wells,ca,1601703897.0,13.0,54.0,90.0,3.1
224,-30.300830635491728,-20.37288266620257,jamestown,sh,1601703898.0,6.67,100.0,90.0,3.1
225,19.363128113428985,150.87946570215797,katsuura,jp,1601703732.0,25.0,60.0,75.0,2.1
227,-19.563167318995042,179.1556470105064,isangel,vu,1601703899.0,25.0,83.0,75.0,2.6
228,2.441102434985183,150.692852037239,kavieng,pg,1601703899.0,29.0,70.0,33.0,4.56
235,6.222525267621876,174.42590364335234,butaritari,ki,1601703900.0,27.64,67.0,53.0,3.84
238,14.668214787818954,86.83148919953294,yarada,in,1601703901.0,32.0,62.0,75.0,1.0
242,-15.9065118784508,162.932483177866,luganville,vu,1601703902.0,26.0,78.0,75.0,3.6
247,26.522271459683168,-15.864246967228326,santa lucia,es,1601703902.0,23.0,60.0,75.0,7.7
248,-41.79759099477228,-76.46396194776425,ancud,cl,1601703903.0,2.78,72.0,0.0,2.6
253,60.30672745550561,23.014540130990156,salo,fi,1601703904.0,20.0,72.0,97.0,10.3
254,59.996284264935866,-75.54022629808534,iqaluit,ca,1601703905.0,-1.0,74.0,90.0,3.1
255,11.411699420414678,81.54388784819366,tirumullaivasal,in,1601703906.0,32.16,59.0,95.0,3.61
256,38.41576051337407,-26.93321702446127,praia da vitoria,pt,1601703906.0,20.56,88.0,75.0,7.78
260,-11.147342917199822,17.706106112240292,camacupa,ao,1601703907.0,20.39,76.0,64.0,0.6
262,-39.013730078157295,174.35893682471323,waitara,nz,1601703907.0,15.56,75.0,29.0,3.13
265,43.921211118157544,78.42493446904666,saryozek,kz,1601703908.0,16.53,30.0,0.0,2.18
269,-22.2017373382905,129.1044613927698,yulara,au,1601703909.0,38.0,5.0,0.0,8.2
271,73.07538608493155,98.06355808946608,khatanga,ru,1601703909.0,-2.45,96.0,94.0,4.93
274,60.14098376442294,-146.9059987875494,palmer,us,1601703910.0,6.67,100.0,1.0,0.91
279,77.13551551165531,29.682100019532783,berlevag,no,1601703910.0,8.71,85.0,81.0,7.02
281,-30.545337910962758,39.930541780024896,beloha,mg,1601703911.0,23.85,54.0,55.0,5.47
283,-35.885619100638294,-56.36904224112905,montevideo,uy,1601703911.0,8.33,62.0,20.0,7.2
285,4.8510502129834805,13.733910503746756,bertoua,cm,1601703912.0,20.17,97.0,100.0,1.3
286,-6.456924538237317,54.68954028335517,victoria,sc,1601703782.0,30.56,71.0,46.0,2.68
291,19.82018690842115,-9.868974809483461,atar,mr,1601703913.0,26.64,30.0,0.0,4.71
293,65.47262664331845,88.19082752617169,turukhansk,ru,1601703914.0,6.71,92.0,100.0,3.74
294,55.06100338607263,178.97392066595944,beringovskiy,ru,1601703915.0,4.12,92.0,100.0,10.78
297,-13.4463053708118,-44.04486194634799,santa maria da vitoria,br,1601703916.0,20.38,43.0,0.0,1.54
298,50.43576058323234,34.88680772670466,okhtyrka,ua,1601703917.0,16.34,45.0,46.0,6.59
299,-58.514758716283005,76.06852546518843,souillac,mu,1601703917.0,25.0,61.0,20.0,1.5
307,4.771853735092236,-54.869948166699174,brokopondo,sr,1601703918.0,25.16,85.0,79.0,3.43
309,68.14207426777736,49.80548083938285,naryan-mar,ru,1601703919.0,3.99,74.0,61.0,4.82
314,61.06931413475726,-170.0026872216143,lavrentiya,ru,1601703920.0,5.34,87.0,87.0,6.42
